No,Regional Office,Kode Cabang,Nama Cabang,Jenis Cabang,Alamat,Provinsi,Kota/Kabupaten
125,Jakarta 3,438,KC Tangerang City,KC,"Skandinavia Apartment & Commercials Blok H No.11 Jl. Jenderal Sudirman No. 1",Banten,Kota Tangerang
126,Jakarta 3,440,KC Jakarta Pantai Indah Kapuk,KC,"Bukit Golf Mediterania PIK Blok A No. 061 dan 062 Rukan Crown Golf",DKI Jakarta,Kota Jakarta Utara
127,Jakarta 3,1127,KC Pamulang,KC,"Ruko Pamulang Permai Jl. Siliwangi Blok SH.15-16",Banten,Kota Tangerang Selatan
128,Jakarta 3,393,KC Bintaro,KC,"Jl. MH Thamrin CBD Blok A-02 No.7, Kota Tangerang Selatan",Banten,Kota Tangerang Selatan
129,Jakarta 3,377,KC Jakarta Kebon Jeruk,KC,"Jl. Panjang Kelapa Dua RT 03 RW 01",DKI Jakarta,Kota Jakarta Barat
130,Jakarta 3,399,KC Jakarta Kalideres,KC,"Jl. Tampak Siring, Komplek Perumahan Daan Mogot Baru Blok KJD No.7-9, Kel. Kalideres",DKI Jakarta,Kota Jakarta Barat
131,Jakarta 3,19,KC Jakarta Kota,KC,"Jl. Kopi No. 54",DKI Jakarta,Kota Jakarta Barat
132,Jakarta 3,166,KC Labuan,KC,"Jl. Jend. Sudirman No. 156",Banten,Kab. Pandeglang
133,Jakarta 3,338,KC Jakarta Roxi,KC,"Pusat Niaga Roxi Mas Blok B1 No. 1-2 Jl. KH. Hasyim Ashari",DKI Jakarta,Kota Jakarta Pusat
134,Jakarta 3,1145,KC Gading Serpong,KC,"Ruko Financial Centre Jl. Boulevard Raya Blok BA2 No.11 &12",Banten,Kab. Tangerang
135,Jakarta 3,509,KC Bumi Serpong Damai,KC,"Jl. Kapten Soebianto Djojokusumo Kav BSD II No.1",Banten,Kota Tangerang Selatan
136,Jakarta 3,71,KC Pontianak,KC,"Jl. Jendral Ahmad Yani No.23, Kel. Akcaya, Kec. Pontianak Selatan, Kota Pontianak, Prov Kalimantan Barat",Kalimantan Barat,Kota Pontianak
137,Jakarta 3,418,KC Jakarta Jelambar,KC,"Jl. Dr. Makaliwe Raya No. 36 RT.002/005, Kel. Grogol, Kec. Grogol Petamburan, Kota Jakarta Barat",DKI Jakarta,Kota Jakarta Barat
138,Jakarta 3,398,KC Jakarta Puri Niaga,KC,"Jl. Puri Kencana Rukan Puri Niaga III Blok M8 No.1 R,1S,1T RT 03 RW 07",DKI Jakarta,Kota Jakarta Barat
139,Jakarta 3,417,KC Jakarta S Parman,KC,"Jl. Kemanggisan Raya No. 31B- 31D RT 002 EW 007",DKI Jakarta,Kota Jakarta Barat
140,Jakarta 3,445,KC Tangerang Merdeka,KC,"Jl. Merdeka Nomor 110 C-G RT 04/02",Banten,Kota Tangerang
141,Jakarta 3,397,KC Jakarta Palmerah,KC,"Jl. Palmerah Barat No 43 A",DKI Jakarta,Kota Jakarta Barat
142,Jakarta 3,120,KC Jakarta Tangerang,KC,"Jl. Jend. Ahmad Yani No.4",Banten,Kota Tangerang
143,Jakarta 3,379,KC Jakarta Daan Mogot,KC,"Jl. Daan Mogot No. 17",DKI Jakarta,Kota Jakarta Barat
144,Jayapura,310,KC Sorong,KC,"Jl. A. Yani No. 11",Papua Barat,Kota Sorong
145,Jayapura,1082,KC Sentani,KC,"Jl. Raya Kemiri Pos VII",Papua,Kab. Jayapura
146,Jayapura,307,KC Jayapura,KC,"Gd. BRI Lt. 1-2 Jl. Pasifik Permai Kompleks Ruko Dok II",Papua,Kota Jayapura
147,Jayapura,561,KC Timika,KC,"Jl. Budi Utomo No.4-6, Timika",Papua,Kab. Mimika
148,Jayapura,308,KC Biak,KC,"Jl. Jend. Sudirman No. 16",Papua,Kab. Biak Numfor
149,Jayapura,352,KC Merauke,KC,"Jl. Raya Mandala 8",Papua,Kab. Merauke
150,Makassar,1476,KK BANDARA HASANUDDIN,KK,"Kompleks Bandara Hasanuddin",Sulawesi Selatan,Kab. Maros
151,Makassar,50,KC Makassar Ahmad Yani,KC,"Jl. Ahmad Yani No. 8",Sulawesi Selatan,Kota Makassar
152,Makassar,216,KC Kolaka,KC,"Jl. Merdeka No. 7",Sulawesi Tenggara,Kab. Kolaka
153,Makassar,64,KC Pare-Pare,KC,"Jl. Bau Massepe, Kel. Mallusetasi, Kec. Ujung, Kota Pare - Pare, Provinsi Sulawesi Selatan",Sulawesi Selatan,Kota Parepare
154,Makassar,250,KC Takalar,KC,"Jl. H. M. Dg. Manjarungi No. 1",Sulawesi Selatan,Kab. Takalar
155,Makassar,646,KC Kendari By Pass,KC,"Jl. Brigjend M. Joenoes 71 - 73, Kel. Bende, Kec. Kadia, Kota Kendari Prov. Sulawasi Tenggara",Sulawesi Tenggara,Kota Kendari
156,Makassar,642,KC Panakkukang,KC,"Jl. Letjen Hertasning No.14",Sulawesi Selatan,Kota Makassar
157,Makassar,225,KC Sungguminasa,KC,"Jl. Andi Mallombassang No. 101",Sulawesi Selatan,Kab. Gowa
158,Makassar,403,KC Tamalanrea,KC,"Jl. Perintis Kemerdekaan No.1",Sulawesi Selatan,Kota Makassar
159,Makassar,224,KC Maros,KC,"Jl. Jenderal Sudirman No. 1",Sulawesi Selatan,Kab. Maros
160,Makassar,1,KC Ambon,KC,"Jl. P. Diponegoro No. 29 Ambon",Maluku,Kota Ambon
161,Makassar,218,KC Mamuju,KC,"Jl. Urip Sumoharjo No. 33",Sulawesi Barat,Kab. Mamuju
162,Makassar,187,KC Palopo,KC,"Jl. K. H. M. Ramli No. 2",Sulawesi Selatan,Kota Palopo
163,Makassar,47,KC Majene,KC,"Jl. Gatot Subroto No.11-13 Kel. Banggae Kec. Banggae",Sulawesi Barat,Kab. Majene
164,Makassar,192,KC Kendari Samratulangi,KC,"Jl. Dr. Samratulangi No.146",Sulawesi Tenggara,Kota Kendari
165,Makassar,111,KC Watampone,KC,"Jl. Jend. A. Yani No. 11",Sulawesi Selatan,Kab. Bone
166,Makassar,343,KC Makassar Somba Opu,KC,"Jl. Bau Massepe No. 21",Sulawesi Selatan,Kota Makassar
167,Makassar,232,KC Rantepao,KC,"Jl. Jenderal Ahmad Yani No. 96",Sulawesi Selatan,Kab. Toraja Utara
168,Malang,344,KC Malang Martadinata,KC,"Jl. Laksmana Martadinata No. 80",Jawa Timur,Kota Malang
169,Malang,577,KC Genteng,KC,"Jl. Gajah Mada No.93",Jawa Timur,Kab. Banyuwangi
170,Malang,45,KC Madiun,KC,"Jl. Pahlawan No. 50",Jawa Timur,Kota Madiun
171,Malang,51,KC Malang Kawi,KC,"Jl. Kawi No. 20-22",Jawa Timur,Kota Malang
172,Malang,44,KC Lumajang,KC,"Jl. Alun-Alun Selatan No. 3",Jawa Timur,Kab. Lumajang
173,Malang,13,KC Bondowoso,KC,"Jl. K. Mangunsarkoro No. 5",Jawa Timur,Kab. Bondowoso
174,Malang,65,KC Pasuruan,KC,"Jl. Pahlawan No. 24",Jawa Timur,Kota Pasuruan
