Nama Cabang,Kode Cabang,Alamat
KCP Grogol Permai,0260,"Pert.Grogol Permai Blok F 3-4, Jln. Prof. Latumenten Jakarta Barat 11460,"
KCP Latumenten,0311,Jln. Prof. Dr. Latumenten 28 Jakarta Barat
KCP Taman Harapan Indah,5380,"Komp. Taman Harapan Indah Blok EE No.1, Jelambar Baru Jakarta Barat"
KCP Metro Tanah Abang,6260,Pusat Grosir Metro Tanah Abang Lt. Lower Ground Blok A No.
KCP Pasar Tanah Abang,0369,Jln. KH Fachrudin 36 Blok D/23 Jakarta Pusat
KCP Tanah Abang Blok A,8390,"Kios Pasar Tanah Abang Blok A Basement I/G-063, F-080, F-081 Jakarta Pusat"
KCP Wahid,0478,Jln. KH Wahid Hasyim 82 Jakarta Pusat
KCP BEJ,0458,"Gd. Bursa Efek Jakarta, Tower II G-09 & 108, Jln. Jend. Sudirman Kav. 52-53"
KCP Mal Taman Anggrek,0467,"Lower Ground Lot. C 07, Jln. S. Parman Kav. 21, Slipi Jakarta Barat 11470,"
KCU BEKASI,0066,Jln. Ir. H. Juanda 54 Bekasi
KCP Ahmad Yani Bekasi,7390,"Ruko Kalimalang Commercial Center Blok A No.5-6, Jln. A. Yani Bekasi, Jawa"
KCP Bulevar Hijau,5210,"Komp. Sentra Niaga Bulevar Hijau Kav. 33-35, Medan Satria Bekasi - Jawa"
KCP Cikarang,0343,"Ruko Cikarang Plaza, Jln. Yos Sudarso Blok B No. 5-6 Bekasi Jawa Barat"
KCP Lippo Cikarang,5220,"Jln. M. Thamrin Blok B-9, Thamrin Square Lippo City, Cikarang Bekasi Jawa"
KCP Taman Galaxi,5770,"Jln. Raya Taman Galaxi Blok A/31 Bekasi Jawa Barat 17147,"
KCP Pondok Gede Plaza,6870,"Ruko Pondok Gede Plaza Blok H no. 3 & 5, Jln. Raya Pondok Gede Jawa Barat"
KCU MARGONDA,8690,Jln. Margonda Raya No. 182 Depok
KCP Margo City,0421,"Margo City Unit GF 11, Jln. Margonda Raya No. 358 Depok Jawa Barat 16423,"
KCP Cinere,0267,"Jln. Cinere Raya Blok A/18-19 Sawangan, Jawa Barat"
KCU TANGERANG,0108,Jln. Kisamaun No. 57 Tangerang
KCU SERPONG,0497,"Wisma BCA BSD City, Kav. CBD Lot I.3, Jln. Pahlawan Seribu Tangerang"
KCP Pondok Lestari,0345,"Ruko Pdk Lestari Blok C/7-8, Jln. Ciledug Raya Tangerang 15157 Banten,"
KCP Alam Sutera,6040,"Jln. Sutra Niaga I No.39, Ruko Alam Sutra, Raya Serpong Tangerang 15325"
KCP Gading Serpong,8830,"Summarecon Mal Serpong Unit DGF - 17 B, Lantai Dasar - Down Town Walk"
KCP Villa Melati Mas,6050,"Komp. Pertokoan Villa Melati Mas Blok SR 1 No.18-19, Jln. Raya Serpong"
KCP Cibodas,7130,"Perum Ciobodas, Ruko Dutamas Plaza Blok A/23 Tangerang Banten 15138,"
KCP Cikokol,8680,"Komp. Mahkota Mas Blok C 5-6, Jln. MH.Thamrin Tangerang Banten 15117,"
KCP MH. Thamrin,6890,"Jln. MH. Thamrin 9, Cikokol Tangerang Banten"
KCU Ambon,0044,"Jln. Sultan Hairun 24 Ambon 97124 Maluku,"
KCU Balikpapan,0191,"Jln. Jend. Sudirman 139 B, Balikpapan 76112 Kalimantan Timur,"
KCU Banda Aceh,0043,"Jln. Panglima Polim 40 Banda Aceh 23122 Nanggroe Aceh Darussalam,"
KCU Bandar Lampung,0020,"Jln. Yos Sudarso 100 Bandar Lampung 35225 Lampung,"
KCP Tanjung karang,0023,"Jln. Raden Intan No. 38 Bandar Lampung 35111 Lampung,"
KCU Bandung,0008,"Jln. Asia Afrika 122-124 Bandung 40261 Jawa Barat, 022-4236303"
KCU A.Yani,0437,"Jln. A. Yani 656-658 Bandung 40282 Jawa Barat, 022-7206706"
KCU Dago,7770,"Jln. Ir. Juanda 66 Bandung 40138 Jawa Barat,"
KCU Soekarno Hatta,0346,"Jln.Soekarno Hatta 240 Bandung 40227 Jawa Barat, 022-5403343"
KCP ABC,0243,"Jln ABC 18 Bandung 40111 Jawa Barat,"
KCP Abdul Rachman Saleh,5150,"Jln. Abdul Rachman Saleh 77 Bandung 40174 Jawa Barat,"
KCP Burangrang,0438,"Jln. Burangrang 44 Bandung 40262 Jawa Barat,"
KCP Rajawali,0281,"Komp. Rajawali Plaza Jln. Rajawali Timur 27 B Bandung 40182 Jawa Barat,"
KCP Sudirman,0085,"Jln. Jendral Sudirman 239-241 Bandung 40231 Jawa Barat,"
KCP Suniaraja,0063,"Jln Suniaraja Timur 49 Bandung 40181 Jawa Barat,"
KCP Banda,0449,"Jln. Banda 39 Bandung 40115 Jawa Barat,"
KCP Buah Batu,7750,"Jln. Buah Batu 192 Bandung 40228 Jawa Barat,"
KCP Riau,0086,"Jln. Laks.R.E. Martadinata 92 Bandung 40114 Jawa Barat,"
KCP Maranatha,0282,"Jln. Prof. Drg. S. Soemantri 33 Bandung 40151 Jawa Barat,"
KCP Setiabudi,0233,"Jln. Setiabudi 146 Bandung 40114 Jawa Barat,"
KCP Cimahi,0139,"Jln. Cimahi 533 Bandung 40523 Jawa Barat,"
KCP Kopo,0176,"Jln. Kopo 26 A-B Bandung 40242 Jawa Barat, 022-6033127"
KCP Lingkar Selatan,0453,"Komp. Ruko Kopo Plaza B 03-04 Jln. Peta 33 Bandung 40233 Jawa Barat,"
KCP Sumbersari,0157,"Jln. Sumbersari T 12 No.23 Bandung 40222 Jawa Barat,"
KCU Bangkalan,0185,"Jln. Trunojoyo 14 Bangkalan 69112 Jawa Timur,"
KCU Banjarmasin,0051,"Jln. Lambung Mangkurat 11-13 Banjarmasin 70111 Kalimantan Selatan,"
KCU Banyuwangi,0180,"Jln. Jend. Sudirman 85-87, Banyuwangi 68415 Jawa Timur,"
KCU Batam,0061,"Jln. Raja Ali Haji 18, Sei Jodoh Batam 29432 Riau, 0778-421222"
KCP Nagoya,0340,"Komp. Sakura Anpan, Jln. Imam Bonjol Blok B 6-8 Batam 29432 Riau,"
KCU Bengkulu,0058,"Jln. S. Parman No. 66 Bengkulu 38223 Bengkulu,"
KCU Blitar,0090,"Jln. Cepaka No. 17 , Blitar 66111 Jawa Timur ,"
KCU BOGOR,0095,Jln. Ir Juanda 28 Bogor 16122 0251-314411
KCP Taman Topi Square,0174,Jln. Dewi Sartika 36 Bogor Jawa Barat
KCP Siliwangi,0427,"Jl.Siliwangi 101 Bogor Jawa Barat 16142, 0251-313737"
KCP Cimanggis,0166,"Jln. Raya Bogor Km. 29, Cimanggis - Cibinong Jawa Barat 16951,"
KCU Bukit Tinggi,8050,"Jln. A. Yani No. 51 Bukittinggi 26113 Sumatera Barat,"
KCU Cianjur,0183,"Jln. Hos Cokroaminoto 56-58 Cianjur 43215 Jawa Barat,"
KCU Cilacap,0096,"Jln. A. Yani 118 Cilacap 53212 Jawa Tengah,"
KCU Cirebon,0134,"Jln. Yos Sudarso 27 Cirebon 45111 Jawa Barat,"
KCU Denpasar,0040,"Jln. Hasanudin 58 Denpasar 80119 Bali,"
KCP Renon,7725,"Jln. Prof. Mohammad Yamin No. 11 A, Renon Denpasar 80226 Bali,"
KCU Garut,0148,"Jln. Ciledug 162 Garut 44112 Jawa Barat, 0262-231304"
KCU Gresik,7900,"Jln. R.A Kartini 98B-100 Gresik 61122 Jawa Timur,"
KCP Gresik,0150,"Jln. Dr. Sutomo 48 Gresik 61111 Jawa Timur,"
KCU Jambi,0119,"Jln. Dr. Sutomo 50-50A Jambi 36113 Jambi, 0741-21116"
KCU Jayapura,8140,"Komp. Pertokoan Jayapura Pasific Permai Blok C - 30/31, Jln. Sam Ratulangi"
KCU Jember,0024,"Jln. Gajah Mada 14-18, Jember 68131 Jawa Timur, 0331-484535"
KCU Jombang,0113,"Jln. KH Wahid Hasyim 20 Jombang 61415 Jawa Timur, 0321-862237"
KCU Kediri,0033,"Jln. Brawijaya 8, Kediri 64123 Jawa Timur , 0354-681057"
KCU Kendari,7910,"Jln. Drs. H. Abd. Silondae 129 A-B Kendari 93111 Sulawesi Tenggara,"
